pm25,visibility,traffic,nox,action
8.4,10.0,17,1.1,0
1.1,10.0,44,0.9,0
10.4,10.0,20,65.1,0
0.7,2.0,31,1.6,1
183.4,10.0,43,72.7,1
1.2,10.0,39,0.2,0
4.0,10.0,39,8.3,0
0.8,10.0,20,1.0,0
3.7,10.0,37,15.1,0
3.7,10.0,37,5.1,0
1.9,10.0,31,7.1,0
12.2,10.0,51,1.2,0
39.0,10.0,26,18.5,0
49.7,10.0,16,8.7,0
1.9,10.0,45,1.0,0
1.6,10.0,23,1.4,0
14.7,10.0,41,22.3,0
7.7,10.0,39,0.3,0
8.2,10.0,46,4.5,0
9.3,10.0,26,0.2,0
4.6,10.0,32,2.1,0
2.7,10.0,27,1.1,0
16.4,10.0,21,7.3,0
0.5,0.0,41,0.2,1
2.2,10.0,40,1.8,0
3.5,10.0,42,4.5,0
5.4,10.0,33,1.7,0
33.3,10.0,28,2.1,0
0.5,10.0,27,0.0,0
6.1,10.0,36,0.6,0
17.1,10.0,24,14.9,0
25.6,10.0,33,4.9,0
5.0,24.0,37,1.8,0
0.5,10.0,28,0.1,0
13.6,10.0,19,1.0,0
211.1,7.0,41,41.8,1
84.9,10.0,17,101.5,1
3.0,10.0,33,1.2,0
1.5,10.0,43,0.2,0
17.3,10.0,28,11.8,0
21.7,7.0,42,10.9,1
6.6,10.0,41,8.8,0
4.7,9.0,37,5.9,0
7.7,10.0,21,0.4,0
3.4,10.0,38,2.9,0
17.3,10.0,29,11.8,0
5.8,10.0,40,4.8,0
9.5,10.0,35,2.0,0
0.9,10.0,38,0.5,0
7.0,10.0,45,14.4,0
26.3,10.0,39,72.7,0
11.7,10.0,21,6.9,0
20.4,10.0,39,7.7,0
2.1,10.0,39,0.6,0
13.9,10.0,19,0.1,0
7.3,10.0,30,4.6,0
22.0,10.0,19,1.1,0
12.0,10.0,25,0.1,0
2.6,10.0,44,2.1,0
5.5,10.0,27,2.1,0
9.8,10.0,38,20.7,0
41.0,10.0,39,15.6,0
12.9,10.0,43,0.9,0
2.0,10.0,32,1.7,0
6.6,10.0,35,4.0,0
19.2,10.0,39,4.5,0
8.7,10.0,17,12.5,0
2.4,10.0,44,0.8,0
132.0,5.0,48,35.0,1
16.7,10.0,39,8.1,0
15.8,8.0,39,0.4,0
1.1,8.0,42,2.9,0
10.7,10.0,37,9.9,0
41.8,10.0,24,26.1,0
19.0,10.0,34,3.7,0
5.4,10.0,35,3.4,0
0.5,10.0,46,0.6,0
25.4,4.0,11,3.0,1
196.1,8.0,39,52.1,1
34.4,10.0,21,145.3,0
13.5,10.0,20,25.0,0
8.4,5.0,41,14.1,0
5.0,10.0,29,1.6,0
41.8,10.0,24,26.1,0
10.1,10.0,35,12.2,0
15.8,10.0,38,31.2,0
4.5,5.0,20,1.9,0
1.9,10.0,26,3.3,0
58.0,10.0,26,4.4,0
2.5,10.0,41,0.0,0
31.9,13.0,34,76.1,0
3.1,10.0,31,0.5,0
10.0,10.0,35,2.2,0
6.7,10.0,24,4.7,0
5.8,10.0,31,0.9,0
29.8,10.0,22,4.5,0
1.7,10.0,39,0.7,0
2.8,10.0,31,0.7,0
4.9,10.0,34,10.0,0
1.6,10.0,23,1.4,0
