pm25,visibility,traffic,nox,action
13.0,21.74,22,5.0,0
15.0,21.74,27,13.0,0
16.0,20.83,29,19.0,0
16.0,20.83,27,20.0,0
14.0,22.73,39,43.0,0
18.0,19.11,33,28.0,0
19.0,20.27,25,13.0,0
15.0,21.58,23,12.0,0
13.0,23.26,30,24.0,0
12.0,22.22,26,11.0,0
3.0,27.52,24,11.0,0
3.0,26.79,27,15.0,0
10.0,24.0,31,27.0,0
15.0,22.73,38,45.0,0
20.0,19.87,40,45.0,0
26.0,18.52,30,23.0,0
31.0,17.24,23,6.0,0
32.0,17.86,26,12.0,0
36.0,17.34,36,22.0,0
47.0,14.08,39,30.0,0
59.0,12.55,38,32.0,0
63.0,11.95,40,36.0,0
70.0,11.03,54,62.0,0
86.0,9.65,65,89.0,1
98.0,8.7,65,84.0,1
98.0,9.26,75,97.0,1
86.0,10.2,76,97.0,1
81.0,10.38,73,91.0,1
80.0,10.75,79,85.0,1
84.0,10.34,75,74.0,1
87.0,9.26,65,61.0,1
79.0,11.07,50,39.0,1
54.0,13.33,77,78.0,0
76.0,11.11,73,65.0,1
82.0,10.27,67,53.0,1
78.0,11.28,67,52.0,1
77.0,10.87,73,66.0,1
87.0,10.0,79,86.0,1
97.0,9.62,82,94.0,1
102.0,8.82,87,109.0,1
113.0,7.56,68,81.0,1
127.0,7.13,48,51.0,1
61.0,10.99,23,6.0,0
44.0,11.41,28,13.0,0
78.0,8.43,69,90.0,1
150.0,5.79,63,81.0,1
14.0,20.55,22,3.0,0
20.0,18.4,49,52.0,0
28.0,16.04,35,18.0,0
13.0,19.61,20,2.0,0
7.0,23.44,42,46.0,0
15.0,18.29,41,39.0,0
19.0,17.75,36,32.0,0
19.0,19.48,22,2.0,0
32.0,16.04,20,3.0,0
38.0,13.64,26,16.0,0
45.0,12.45,37,36.0,0
57.0,11.32,39,42.0,0
72.0,10.79,57,74.0,0
83.0,8.85,62,82.0,1
99.0,8.45,64,85.0,1
111.0,8.11,57,62.0,1
122.0,7.81,51,54.0,1
122.0,7.92,40,70.0,1
95.0,8.5,71,59.0,1
86.0,10.2,75,77.0,1
88.0,9.62,77,80.0,1
93.0,9.17,76,77.0,1
98.0,8.96,80,87.0,1
109.0,8.33,77,84.0,1
209.0,5.46,100,150.0,1
212.0,5.42,100,153.0,1
218.0,5.04,100,170.0,1
234.0,4.86,100,180.0,1
245.0,4.76,100,172.0,1
238.0,4.82,100,166.0,1
162.0,5.45,65,153.0,1
3.0,7.65,97,143.0,0
3.0,7.63,100,157.0,0
120.0,5.69,100,171.0,1
248.0,4.49,100,170.0,1
287.0,4.08,100,172.0,1
292.0,4.06,100,164.0,1
272.0,4.28,100,166.0,1
279.0,3.99,100,163.0,1
284.0,3.87,100,160.0,1
280.0,3.97,100,150.0,1
261.0,4.34,93,130.0,1
201.0,5.46,88,113.0,1
149.0,7.25,85,104.0,1
131.0,7.83,84,100.0,1
126.0,7.67,87,112.0,1
154.0,6.8,100,171.0,1
223.0,4.78,100,208.0,1
274.0,4.17,100,240.0,1
315.0,3.89,100,219.0,1
251.0,4.62,54,67.0,1
161.0,6.96,67,93.0,1
198.0,5.44,60,82.0,1
222.0,4.95,76,111.0,1
243.0,4.51,96,160.0,1
272.0,4.08,100,213.0,1
299.0,3.7,100,211.0,1
318.0,3.55,100,211.0,1
302.0,3.87,100,208.0,1
278.0,4.12,100,187.0,1
264.0,4.36,100,167.0,1
248.0,4.78,100,189.0,1
254.0,4.57,100,177.0,1
251.0,4.62,100,168.0,1
247.0,4.77,100,175.0,1
247.0,4.67,100,155.0,1
240.0,4.89,100,166.0,1
250.0,4.67,100,170.0,1
258.0,4.6,100,176.0,1
260.0,4.43,100,175.0,1
266.0,4.32,65,179.23,1
233.0,5.04,93,145.0,1
273.0,3.95,100,239.0,1
222.0,5.08,74,122.0,1
152.0,6.2,44,64.0,1
179.0,4.42,67,90.0,1
245.0,3.38,100,158.0,1
169.0,5.29,70,115.0,1
124.0,7.08,57,103.0,1
95.0,9.74,46,85.0,1
85.0,10.45,44,77.0,1
95.0,9.26,52,97.0,1
84.0,11.03,46,79.0,1
95.0,9.93,61,117.0,1
86.0,10.87,63,103.0,1
54.0,13.27,55,72.0,0
92.0,10.24,56,84.0,1
91.0,10.42,47,93.0,1
98.0,10.03,70,97.0,1
96.0,9.55,71,100.0,1
101.0,9.26,68,91.0,1
106.0,9.09,65,92.0,1
110.0,6.73,66,96.0,1
86.0,2.65,14,15.0,1
57.0,2.63,11,9.0,1
87.0,10.45,10,8.0,1
69.0,11.15,10,8.0,0
51.0,2.71,10,6.0,1
34.0,5.24,10,7.0,0
20.0,8.38,12,8.0,0
12.0,11.28,12,8.0,0
12.0,13.45,13,12.0,0
18.0,12.99,15,17.0,0
15.0,15.15,14,15.0,0
15.0,15.71,12,9.0,0
11.0,18.99,12,7.0,0
9.0,22.56,12,7.0,0
3.0,27.03,12,7.0,0
8.0,25.64,11,6.0,0
3.0,27.27,13,12.0,0
16.0,18.4,38,65.0,0
31.0,15.87,46,85.0,0
37.0,15.54,40,71.0,0
29.0,15.54,45,81.0,0
24.0,18.07,35,60.0,0
26.0,15.79,38,64.0,0
22.0,18.4,25,39.0,0
21.0,17.05,22,25.0,0
29.0,15.54,26,25.0,0
35.0,15.23,22,24.0,0
29.0,16.13,20,22.0,0
35.0,15.46,19,20.0,0
42.0,14.15,19,20.0,0
45.0,13.22,20,22.0,0
42.0,13.45,20,23.0,0
54.0,11.41,25,35.0,0
68.0,10.0,34,52.0,0
85.0,9.2,40,65.0,1
98.0,8.29,57,105.0,1
106.0,7.94,58,107.0,1
110.0,7.92,54,90.0,1
125.0,7.33,49,79.0,1
127.0,6.98,56,90.0,1
128.0,6.8,62,98.0,1
114.0,8.02,60,93.0,1
80.0,10.17,62,88.0,1
100.0,8.33,62,90.0,1
82.0,9.9,71,86.0,1
98.0,8.75,69,89.0,1
100.0,8.31,78,94.0,1
122.0,7.32,86,106.0,1
123.0,7.48,77,111.0,1
123.0,7.63,77,116.0,1
134.0,7.21,81,127.0,1
136.0,7.48,73,118.0,1
124.0,7.83,48,74.0,1
124.0,7.69,55,76.0,1
141.0,7.06,61,92.0,1
148.0,6.58,70,103.0,1
170.0,5.83,83,118.0,1
192.0,5.33,91,135.0,1
197.0,5.23,91,140.0,1
201.0,5.2,94,144.0,1
204.0,5.03,94,144.0,1
219.0,4.79,90,137.0,1
167.0,5.88,71,113.0,1
112.0,7.67,58,102.0,1
113.0,8.04,60,102.0,1
118.0,7.75,64,104.0,1
128.0,7.04,72,103.0,1
141.0,6.36,75,105.0,1
148.0,7.28,77,106.0,1
146.0,7.32,78,104.0,1
128.0,7.65,68,102.0,1
124.0,9.4,67,98.0,1
132.0,9.15,70,98.0,1
134.0,9.15,68,101.0,1
136.0,8.85,69,101.0,1
156.0,8.06,72,103.0,1
152.0,8.33,66,96.0,1
140.0,9.04,56,85.0,1
150.0,8.22,63,91.0,1
152.0,8.45,63,96.0,1
125.0,8.4,66,100.0,1
131.0,7.85,78,114.0,1
139.0,7.54,83,118.0,1
145.0,8.45,65,102.0,1
128.0,9.06,64,96.0,1
145.0,8.47,78,102.0,1
88.0,10.87,59,85.0,1
44.0,15.96,38,60.0,0
14.0,23.44,17,20.0,0
12.0,24.19,24,19.0,0
12.0,14.15,14,19.0,0
12.0,14.15,23,33.0,0
14.0,14.02,31,49.0,0
14.0,23.44,35,61.0,0
18.0,19.48,39,62.0,0
24.0,18.63,32,45.0,0
15.0,23.08,23,23.0,0
14.0,25.0,17,19.0,0
3.0,26.79,17,20.0,0
6.0,25.86,18,22.0,0
18.0,24.19,15,18.0,0
6.0,26.32,18,22.0,0
12.0,23.44,21,30.0,0
28.0,18.07,22,35.0,0
38.0,15.87,27,44.0,0
47.0,13.64,32,57.0,0
57.0,12.71,43,80.0,0
53.0,13.27,47,89.0,0
70.0,11.03,56,105.0,0
67.0,11.76,52,98.0,0
69.0,11.45,48,79.0,0
75.0,10.83,45,62.0,0
80.0,11.19,51,70.0,1
62.0,13.27,50,71.0,0
71.0,13.27,47,73.0,0
54.0,13.82,45,72.0,0
64.0,13.89,45,71.0,0
76.0,10.91,67,80.0,1
86.0,10.83,68,81.0,1
91.0,10.45,62,79.0,1
76.0,11.19,57,72.0,1
82.0,10.79,54,73.0,1
113.0,9.12,55,81.0,1
