district,pm25,nox,visibility,traffic,condition,city,country,year,month,day,hour
Green District,5.0,2.0,27.27,7,Cold,"Dingling, Beijing",China,2013,3,1,2
Green District,6.0,4.0,26.79,7,Cold,"Dingling, Beijing",China,2013,3,1,5
Green District,5.0,4.0,26.09,7,Cold,"Dingling, Beijing",China,2013,3,1,6
Green District,5.0,2.0,27.03,7,Cold,"Dingling, Beijing",China,2013,3,1,7
Green District,8.0,3.0,26.09,7,Cold,"Dingling, Beijing",China,2013,3,1,8
Green District,8.0,2.0,25.86,7,Clear,"Dingling, Beijing",China,2013,3,1,9
Green District,7.0,2.0,26.32,7,Windy,"Dingling, Beijing",China,2013,3,1,13
Green District,6.0,2.0,26.09,8,Clear,"Dingling, Beijing",China,2013,3,1,23
Green District,4.0,2.0,27.03,7,Cold,"Dingling, Beijing",China,2013,3,2,0
Green District,6.0,2.0,26.79,7,Cold,"Dingling, Beijing",China,2013,3,2,1
Green District,7.0,39.0,27.52,28,Cold,"Dingling, Beijing",China,2013,3,2,2
Green District,28.0,71.0,17.14,45,Cold,"Dingling, Beijing",China,2013,3,2,3
Green District,31.0,71.0,15.31,45,Cold,"Dingling, Beijing",China,2013,3,2,4
Green District,39.0,70.0,15.46,45,Cold,"Dingling, Beijing",China,2013,3,2,5
Green District,41.0,65.0,16.13,40,Cold,"Dingling, Beijing",China,2013,3,2,6
Green District,52.0,56.0,16.3,34,Cold,"Dingling, Beijing",China,2013,3,2,7
Green District,36.0,52.0,19.48,34,Cold,"Dingling, Beijing",China,2013,3,2,8
Green District,27.0,43.0,17.86,31,Cold,"Dingling, Beijing",China,2013,3,2,9
Green District,29.0,35.0,17.96,24,Clear,"Dingling, Beijing",China,2013,3,2,10
Green District,19.0,38.0,22.9,25,Clear,"Dingling, Beijing",China,2013,3,2,11
Green District,28.0,56.0,18.75,32,Clear,"Dingling, Beijing",China,2013,3,2,12
Green District,30.0,42.0,17.54,26,Clear,"Dingling, Beijing",China,2013,3,2,13
Green District,26.0,48.0,19.35,30,Clear,"Dingling, Beijing",China,2013,3,2,14
Green District,32.0,56.0,17.86,34,Clear,"Dingling, Beijing",China,2013,3,2,15
Green District,39.0,64.0,16.39,38,Clear,"Dingling, Beijing",China,2013,3,2,16
Green District,43.0,70.0,15.23,40,Clear,"Dingling, Beijing",China,2013,3,2,17
Green District,48.0,80.0,14.42,45,Clear,"Dingling, Beijing",China,2013,3,2,18
Green District,46.0,80.0,14.29,45,Clear,"Dingling, Beijing",China,2013,3,2,19
Green District,45.0,79.0,14.22,48,Clear,"Dingling, Beijing",China,2013,3,2,20
Green District,50.0,82.0,13.76,48,Cold,"Dingling, Beijing",China,2013,3,2,21
Green District,56.0,76.0,13.1,47,Cold,"Dingling, Beijing",China,2013,3,2,22
Green District,55.0,76.0,13.57,47,Cold,"Dingling, Beijing",China,2013,3,2,23
Green District,60.0,77.0,13.64,47,Cold,"Dingling, Beijing",China,2013,3,3,0
Green District,59.0,72.0,13.51,44,Cold,"Dingling, Beijing",China,2013,3,3,1
Green District,52.0,69.0,14.63,46,Cold,"Dingling, Beijing",China,2013,3,3,2
Green District,57.0,67.0,14.02,34,Cold,"Dingling, Beijing",China,2013,3,3,3
Green District,48.0,66.0,14.78,42,Cold,"Dingling, Beijing",China,2013,3,3,5
Green District,53.0,69.0,14.42,46,Cold,"Dingling, Beijing",China,2013,3,3,6
Green District,53.0,67.0,14.15,40,Cold,"Dingling, Beijing",China,2013,3,3,7
Green District,50.0,62.0,14.56,42,Cold,"Dingling, Beijing",China,2013,3,3,8
Green District,60.0,60.0,12.61,46,Clear,"Dingling, Beijing",China,2013,3,3,9
Green District,73.0,61.0,11.54,42,Clear,"Dingling, Beijing",China,2013,3,3,10
Green District,76.0,64.0,10.83,43,Clear,"Dingling, Beijing",China,2013,3,3,11
Green District,75.0,75.0,10.83,51,Clear,"Dingling, Beijing",China,2013,3,3,12
Green District,92.0,58.0,8.85,39,Windy,"Dingling, Beijing",China,2013,3,3,13
Green District,79.0,27.0,9.2,21,Windy,"Dingling, Beijing",China,2013,3,3,14
Green District,44.0,3.0,12.05,7,Clear,"Dingling, Beijing",China,2013,3,3,15
Green District,11.0,2.0,19.11,7,Clear,"Dingling, Beijing",China,2013,3,3,19
Green District,5.0,2.0,20.41,7,Clear,"Dingling, Beijing",China,2013,3,3,20
Green District,12.0,2.0,20.55,7,Clear,"Dingling, Beijing",China,2013,3,3,21
Green District,4.0,8.0,22.22,14,Clear,"Dingling, Beijing",China,2013,3,3,22
Green District,14.0,4.0,19.74,9,Clear,"Dingling, Beijing",China,2013,3,3,23
Green District,8.0,4.0,27.03,7,Clear,"Dingling, Beijing",China,2013,3,4,6
Green District,7.0,7.0,23.81,10,Clear,"Dingling, Beijing",China,2013,3,4,7
Green District,4.0,8.0,25.21,10,Clear,"Dingling, Beijing",China,2013,3,4,8
Green District,5.0,8.0,24.79,10,Clear,"Dingling, Beijing",China,2013,3,4,9
Green District,8.0,7.0,24.0,10,Windy,"Dingling, Beijing",China,2013,3,4,10
Green District,7.0,4.0,25.42,9,Windy,"Dingling, Beijing",China,2013,3,4,11
Green District,5.0,3.0,27.03,7,Clear,"Dingling, Beijing",China,2013,3,4,12
Green District,10.0,4.0,25.64,9,Clear,"Dingling, Beijing",China,2013,3,4,13
Green District,13.0,6.0,24.19,10,Clear,"Dingling, Beijing",China,2013,3,4,14
Green District,16.0,6.0,22.39,10,Clear,"Dingling, Beijing",China,2013,3,4,15
Green District,18.0,6.0,21.74,10,Clear,"Dingling, Beijing",China,2013,3,4,16
Green District,18.0,5.0,22.39,9,Clear,"Dingling, Beijing",China,2013,3,4,17
Green District,10.0,30.0,25.0,22,Clear,"Dingling, Beijing",China,2013,3,4,18
Green District,39.0,46.0,13.7,31,Clear,"Dingling, Beijing",China,2013,3,4,19
Green District,41.0,44.0,13.57,32,Clear,"Dingling, Beijing",China,2013,3,4,20
Green District,60.0,38.0,12.82,28,Clear,"Dingling, Beijing",China,2013,3,4,21
Green District,50.0,38.0,13.57,31,Clear,"Dingling, Beijing",China,2013,3,4,22
Green District,50.0,33.0,13.64,28,Clear,"Dingling, Beijing",China,2013,3,4,23
Green District,52.0,30.0,13.89,25,Clear,"Dingling, Beijing",China,2013,3,5,0
Green District,56.0,25.0,14.02,24,Clear,"Dingling, Beijing",China,2013,3,5,1
Green District,50.0,26.0,14.71,23,Clear,"Dingling, Beijing",China,2013,3,5,2
Green District,88.0,30.0,12.4,25,Clear,"Dingling, Beijing",China,2013,3,5,3
Green District,53.0,30.0,14.29,25,Cold,"Dingling, Beijing",China,2013,3,5,4
Green District,46.0,23.0,14.93,22,Cold,"Dingling, Beijing",China,2013,3,5,5
Green District,43.0,26.0,15.54,21,Cold,"Dingling, Beijing",China,2013,3,5,6
Green District,47.0,38.0,14.71,26,Clear,"Dingling, Beijing",China,2013,3,5,7
Green District,52.0,33.0,13.89,25,Clear,"Dingling, Beijing",China,2013,3,5,8
Green District,52.0,30.0,13.39,25,Clear,"Dingling, Beijing",China,2013,3,5,9
Green District,69.0,46.0,11.58,34,Clear,"Dingling, Beijing",China,2013,3,5,10
Green District,79.0,76.0,10.95,48,Clear,"Dingling, Beijing",China,2013,3,5,11
Green District,102.0,100.0,8.82,61,Clear,"Dingling, Beijing",China,2013,3,5,12
Green District,126.0,70.0,7.69,46,Clear,"Dingling, Beijing",China,2013,3,5,13
Green District,131.0,61.0,7.87,42,Clear,"Dingling, Beijing",China,2013,3,5,14
Green District,139.0,64.0,7.87,46,Clear,"Dingling, Beijing",China,2013,3,5,15
Green District,152.0,79.0,7.06,51,Clear,"Dingling, Beijing",China,2013,3,5,16
Green District,154.0,99.0,6.9,60,Clear,"Dingling, Beijing",China,2013,3,5,17
Green District,165.0,100.0,6.54,61,Clear,"Dingling, Beijing",China,2013,3,5,18
Green District,179.0,96.0,6.26,59,Clear,"Dingling, Beijing",China,2013,3,5,19
Green District,172.0,94.0,6.64,64,Clear,"Dingling, Beijing",China,2013,3,5,20
Green District,179.0,80.0,6.38,56,Clear,"Dingling, Beijing",China,2013,3,5,21
Green District,173.0,73.0,6.8,55,Clear,"Dingling, Beijing",China,2013,3,5,22
Green District,170.0,72.0,6.94,54,Clear,"Dingling, Beijing",China,2013,3,5,23
