district,pm25,nox,visibility,traffic,condition,city,country,year,month,day,hour
Industrial District,13.0,5.0,21.74,22,Clear,"Gucheng, Beijing",China,2013,3,1,20
Industrial District,15.0,13.0,21.74,27,Clear,"Gucheng, Beijing",China,2013,3,1,21
Industrial District,16.0,19.0,20.83,29,Clear,"Gucheng, Beijing",China,2013,3,1,22
Industrial District,16.0,20.0,20.83,27,Clear,"Gucheng, Beijing",China,2013,3,1,23
Industrial District,14.0,43.0,22.73,39,Cold,"Gucheng, Beijing",China,2013,3,2,0
Industrial District,18.0,28.0,19.11,33,Cold,"Gucheng, Beijing",China,2013,3,2,1
Industrial District,19.0,13.0,20.27,25,Cold,"Gucheng, Beijing",China,2013,3,2,2
Industrial District,15.0,12.0,21.58,23,Cold,"Gucheng, Beijing",China,2013,3,2,3
Industrial District,13.0,24.0,23.26,30,Cold,"Gucheng, Beijing",China,2013,3,2,4
Industrial District,12.0,11.0,22.22,26,Cold,"Gucheng, Beijing",China,2013,3,2,5
Industrial District,3.0,11.0,27.52,24,Cold,"Gucheng, Beijing",China,2013,3,2,7
Industrial District,3.0,15.0,26.79,27,Cold,"Gucheng, Beijing",China,2013,3,2,8
Industrial District,10.0,27.0,24.0,31,Clear,"Gucheng, Beijing",China,2013,3,2,9
Industrial District,15.0,45.0,22.73,38,Clear,"Gucheng, Beijing",China,2013,3,2,10
Industrial District,20.0,45.0,19.87,40,Clear,"Gucheng, Beijing",China,2013,3,2,11
Industrial District,26.0,23.0,18.52,30,Clear,"Gucheng, Beijing",China,2013,3,2,12
Industrial District,31.0,6.0,17.24,23,Clear,"Gucheng, Beijing",China,2013,3,2,13
Industrial District,32.0,12.0,17.86,26,Clear,"Gucheng, Beijing",China,2013,3,2,14
Industrial District,36.0,22.0,17.34,36,Clear,"Gucheng, Beijing",China,2013,3,2,15
Industrial District,47.0,30.0,14.08,39,Clear,"Gucheng, Beijing",China,2013,3,2,16
Industrial District,59.0,32.0,12.55,38,Clear,"Gucheng, Beijing",China,2013,3,2,17
Industrial District,63.0,36.0,11.95,40,Clear,"Gucheng, Beijing",China,2013,3,2,18
Industrial District,70.0,62.0,11.03,54,Clear,"Gucheng, Beijing",China,2013,3,2,19
Industrial District,86.0,89.0,9.65,65,Clear,"Gucheng, Beijing",China,2013,3,2,20
Industrial District,98.0,84.0,8.7,65,Clear,"Gucheng, Beijing",China,2013,3,2,21
Industrial District,98.0,97.0,9.26,75,Cold,"Gucheng, Beijing",China,2013,3,2,22
Industrial District,86.0,97.0,10.2,76,Cold,"Gucheng, Beijing",China,2013,3,2,23
Industrial District,81.0,91.0,10.38,73,Cold,"Gucheng, Beijing",China,2013,3,3,0
Industrial District,80.0,85.0,10.75,79,Cold,"Gucheng, Beijing",China,2013,3,3,1
Industrial District,84.0,74.0,10.34,75,Cold,"Gucheng, Beijing",China,2013,3,3,2
Industrial District,87.0,61.0,9.26,65,Cold,"Gucheng, Beijing",China,2013,3,3,3
Industrial District,79.0,39.0,11.07,50,Cold,"Gucheng, Beijing",China,2013,3,3,4
Industrial District,54.0,78.0,13.33,77,Cold,"Gucheng, Beijing",China,2013,3,3,5
Industrial District,76.0,65.0,11.11,73,Cold,"Gucheng, Beijing",China,2013,3,3,6
Industrial District,82.0,53.0,10.27,67,Cold,"Gucheng, Beijing",China,2013,3,3,7
Industrial District,78.0,52.0,11.28,67,Clear,"Gucheng, Beijing",China,2013,3,3,8
Industrial District,77.0,66.0,10.87,73,Clear,"Gucheng, Beijing",China,2013,3,3,9
Industrial District,87.0,86.0,10.0,79,Clear,"Gucheng, Beijing",China,2013,3,3,10
Industrial District,97.0,94.0,9.62,82,Clear,"Gucheng, Beijing",China,2013,3,3,11
Industrial District,102.0,109.0,8.82,87,Clear,"Gucheng, Beijing",China,2013,3,3,12
Industrial District,113.0,81.0,7.56,68,Clear,"Gucheng, Beijing",China,2013,3,3,13
Industrial District,127.0,51.0,7.13,48,Clear,"Gucheng, Beijing",China,2013,3,3,14
Industrial District,61.0,6.0,10.99,23,Clear,"Gucheng, Beijing",China,2013,3,3,16
Industrial District,44.0,13.0,11.41,28,Clear,"Gucheng, Beijing",China,2013,3,3,17
Industrial District,78.0,90.0,8.43,69,Windy,"Gucheng, Beijing",China,2013,3,3,18
Industrial District,150.0,81.0,5.79,63,Clear,"Gucheng, Beijing",China,2013,3,3,19
Industrial District,14.0,3.0,20.55,22,Clear,"Gucheng, Beijing",China,2013,3,3,22
Industrial District,20.0,52.0,18.4,49,Clear,"Gucheng, Beijing",China,2013,3,3,23
Industrial District,28.0,18.0,16.04,35,Clear,"Gucheng, Beijing",China,2013,3,4,0
Industrial District,13.0,2.0,19.61,20,Clear,"Gucheng, Beijing",China,2013,3,4,4
Industrial District,7.0,46.0,23.44,42,Clear,"Gucheng, Beijing",China,2013,3,4,8
Industrial District,15.0,39.0,18.29,41,Clear,"Gucheng, Beijing",China,2013,3,4,9
Industrial District,19.0,32.0,17.75,36,Clear,"Gucheng, Beijing",China,2013,3,4,10
Industrial District,19.0,2.0,19.48,22,Clear,"Gucheng, Beijing",China,2013,3,4,11
Industrial District,32.0,3.0,16.04,20,Clear,"Gucheng, Beijing",China,2013,3,4,18
Industrial District,38.0,16.0,13.64,26,Clear,"Gucheng, Beijing",China,2013,3,4,19
Industrial District,45.0,36.0,12.45,37,Clear,"Gucheng, Beijing",China,2013,3,4,20
Industrial District,57.0,42.0,11.32,39,Clear,"Gucheng, Beijing",China,2013,3,4,21
Industrial District,72.0,74.0,10.79,57,Clear,"Gucheng, Beijing",China,2013,3,4,22
Industrial District,83.0,82.0,8.85,62,Clear,"Gucheng, Beijing",China,2013,3,4,23
Industrial District,99.0,85.0,8.45,64,Clear,"Gucheng, Beijing",China,2013,3,5,0
Industrial District,111.0,62.0,8.11,57,Clear,"Gucheng, Beijing",China,2013,3,5,1
Industrial District,122.0,54.0,7.81,51,Clear,"Gucheng, Beijing",China,2013,3,5,2
Industrial District,122.0,70.0,7.92,40,Clear,"Gucheng, Beijing",China,2013,3,5,3
Industrial District,95.0,59.0,8.5,71,Cold,"Gucheng, Beijing",China,2013,3,5,5
Industrial District,86.0,77.0,10.2,75,Clear,"Gucheng, Beijing",China,2013,3,5,6
Industrial District,88.0,80.0,9.62,77,Clear,"Gucheng, Beijing",China,2013,3,5,7
Industrial District,93.0,77.0,9.17,76,Clear,"Gucheng, Beijing",China,2013,3,5,8
Industrial District,98.0,87.0,8.96,80,Clear,"Gucheng, Beijing",China,2013,3,5,9
Industrial District,109.0,84.0,8.33,77,Clear,"Gucheng, Beijing",China,2013,3,5,10
Industrial District,209.0,150.0,5.46,100,Clear,"Gucheng, Beijing",China,2013,3,6,10
Industrial District,212.0,153.0,5.42,100,Clear,"Gucheng, Beijing",China,2013,3,6,11
Industrial District,218.0,170.0,5.04,100,Clear,"Gucheng, Beijing",China,2013,3,6,12
Industrial District,234.0,180.0,4.86,100,Clear,"Gucheng, Beijing",China,2013,3,6,13
Industrial District,245.0,172.0,4.76,100,Clear,"Gucheng, Beijing",China,2013,3,6,14
Industrial District,238.0,166.0,4.82,100,Clear,"Gucheng, Beijing",China,2013,3,6,15
Industrial District,162.0,153.0,5.45,65,Clear,"Gucheng, Beijing",China,2013,3,6,16
Industrial District,3.0,143.0,7.65,97,Clear,"Gucheng, Beijing",China,2013,3,6,17
Industrial District,3.0,157.0,7.63,100,Clear,"Gucheng, Beijing",China,2013,3,6,18
Industrial District,120.0,171.0,5.69,100,Clear,"Gucheng, Beijing",China,2013,3,6,19
Industrial District,248.0,170.0,4.49,100,Clear,"Gucheng, Beijing",China,2013,3,6,20
Industrial District,287.0,172.0,4.08,100,Clear,"Gucheng, Beijing",China,2013,3,6,21
Industrial District,292.0,164.0,4.06,100,Clear,"Gucheng, Beijing",China,2013,3,6,22
Industrial District,272.0,166.0,4.28,100,Clear,"Gucheng, Beijing",China,2013,3,6,23
Industrial District,279.0,163.0,3.99,100,Clear,"Gucheng, Beijing",China,2013,3,7,0
Industrial District,284.0,160.0,3.87,100,Clear,"Gucheng, Beijing",China,2013,3,7,1
Industrial District,280.0,150.0,3.97,100,Clear,"Gucheng, Beijing",China,2013,3,7,2
Industrial District,261.0,130.0,4.34,93,Clear,"Gucheng, Beijing",China,2013,3,7,3
Industrial District,201.0,113.0,5.46,88,Clear,"Gucheng, Beijing",China,2013,3,7,4
Industrial District,149.0,104.0,7.25,85,Clear,"Gucheng, Beijing",China,2013,3,7,5
Industrial District,131.0,100.0,7.83,84,Clear,"Gucheng, Beijing",China,2013,3,7,6
Industrial District,126.0,112.0,7.67,87,Clear,"Gucheng, Beijing",China,2013,3,7,7
Industrial District,154.0,171.0,6.8,100,Clear,"Gucheng, Beijing",China,2013,3,7,8
Industrial District,223.0,208.0,4.78,100,Clear,"Gucheng, Beijing",China,2013,3,7,9
Industrial District,274.0,240.0,4.17,100,Clear,"Gucheng, Beijing",China,2013,3,7,10
Industrial District,315.0,219.0,3.89,100,Clear,"Gucheng, Beijing",China,2013,3,7,13
Industrial District,251.0,67.0,4.62,54,Clear,"Gucheng, Beijing",China,2013,3,7,14
Industrial District,161.0,93.0,6.96,67,Clear,"Gucheng, Beijing",China,2013,3,7,15
Industrial District,198.0,82.0,5.44,60,Clear,"Gucheng, Beijing",China,2013,3,7,16
Industrial District,222.0,111.0,4.95,76,Clear,"Gucheng, Beijing",China,2013,3,7,17
Industrial District,243.0,160.0,4.51,96,Clear,"Gucheng, Beijing",China,2013,3,7,18
Industrial District,272.0,213.0,4.08,100,Clear,"Gucheng, Beijing",China,2013,3,7,19
Industrial District,299.0,211.0,3.7,100,Clear,"Gucheng, Beijing",China,2013,3,7,20
Industrial District,318.0,211.0,3.55,100,Clear,"Gucheng, Beijing",China,2013,3,7,21
Industrial District,302.0,208.0,3.87,100,Clear,"Gucheng, Beijing",China,2013,3,7,22
Industrial District,278.0,187.0,4.12,100,Clear,"Gucheng, Beijing",China,2013,3,7,23
Industrial District,264.0,167.0,4.36,100,Clear,"Gucheng, Beijing",China,2013,3,8,0
Industrial District,248.0,189.0,4.78,100,Clear,"Gucheng, Beijing",China,2013,3,8,1
Industrial District,254.0,177.0,4.57,100,Clear,"Gucheng, Beijing",China,2013,3,8,2
Industrial District,251.0,168.0,4.62,100,Clear,"Gucheng, Beijing",China,2013,3,8,3
Industrial District,247.0,175.0,4.77,100,Clear,"Gucheng, Beijing",China,2013,3,8,4
Industrial District,247.0,155.0,4.67,100,Clear,"Gucheng, Beijing",China,2013,3,8,5
