district,pm25,nox,visibility,traffic,condition,city,country,year,month,day,hour
Residential District,9.0,17.0,25.42,13,Windy,"Dongsi, Beijing",China,2013,3,1,0
Residential District,4.0,16.0,27.78,13,Cold,"Dongsi, Beijing",China,2013,3,1,1
Residential District,7.0,17.0,26.32,13,Windy,"Dongsi, Beijing",China,2013,3,1,2
Residential District,3.0,18.0,28.3,25,Windy,"Dongsi, Beijing",China,2013,3,1,3
Residential District,4.0,25.0,27.78,16,Cold,"Dongsi, Beijing",China,2013,3,1,5
Residential District,5.0,29.0,27.27,19,Cold,"Dongsi, Beijing",China,2013,3,1,6
Residential District,3.0,40.0,27.52,22,Cold,"Dongsi, Beijing",China,2013,3,1,7
Residential District,3.0,41.0,27.52,24,Windy,"Dongsi, Beijing",China,2013,3,1,8
Residential District,3.0,31.0,27.52,19,Windy,"Dongsi, Beijing",China,2013,3,1,9
Residential District,3.0,19.0,27.52,14,Windy,"Dongsi, Beijing",China,2013,3,1,10
Residential District,6.0,19.0,26.79,15,Windy,"Dongsi, Beijing",China,2013,3,1,11
Residential District,3.0,18.0,27.52,13,Windy,"Dongsi, Beijing",China,2013,3,1,12
Residential District,3.0,16.0,27.52,13,Windy,"Dongsi, Beijing",China,2013,3,1,13
Residential District,3.0,16.0,27.52,13,Clear,"Dongsi, Beijing",China,2013,3,1,14
Residential District,3.0,17.0,26.55,13,Clear,"Dongsi, Beijing",China,2013,3,1,15
Residential District,9.0,19.0,23.81,14,Clear,"Dongsi, Beijing",China,2013,3,1,16
Residential District,9.0,21.0,22.9,16,Clear,"Dongsi, Beijing",China,2013,3,1,17
Residential District,11.0,28.0,22.39,18,Clear,"Dongsi, Beijing",China,2013,3,1,18
Residential District,13.0,42.0,23.08,26,Clear,"Dongsi, Beijing",China,2013,3,1,19
Residential District,5.0,38.0,25.42,23,Clear,"Dongsi, Beijing",China,2013,3,1,20
Residential District,15.0,51.0,22.73,29,Clear,"Dongsi, Beijing",China,2013,3,1,21
Residential District,19.0,60.0,21.43,33,Clear,"Dongsi, Beijing",China,2013,3,1,22
Residential District,8.0,58.0,24.59,31,Cold,"Dongsi, Beijing",China,2013,3,1,23
Residential District,4.0,45.0,26.09,25,Cold,"Dongsi, Beijing",China,2013,3,2,0
Residential District,3.0,43.0,27.52,25,Cold,"Dongsi, Beijing",China,2013,3,2,1
Residential District,3.0,36.0,27.52,21,Cold,"Dongsi, Beijing",China,2013,3,2,2
Residential District,3.0,41.0,27.52,24,Cold,"Dongsi, Beijing",China,2013,3,2,3
Residential District,3.0,31.0,27.52,19,Cold,"Dongsi, Beijing",China,2013,3,2,4
Residential District,9.0,32.0,25.42,21,Cold,"Dongsi, Beijing",China,2013,3,2,5
Residential District,3.0,59.0,27.52,31,Cold,"Dongsi, Beijing",China,2013,3,2,6
Residential District,13.0,45.0,23.81,27,Cold,"Dongsi, Beijing",China,2013,3,2,7
Residential District,3.0,48.0,27.52,28,Cold,"Dongsi, Beijing",China,2013,3,2,8
Residential District,3.0,49.0,27.52,27,Clear,"Dongsi, Beijing",China,2013,3,2,9
Residential District,3.0,55.0,27.27,30,Clear,"Dongsi, Beijing",China,2013,3,2,10
